2025-01-28 04:24:26 status half-configured sysvinit-utils:arm64 3.08-6ubuntu3
2025-01-28 04:24:26 status installed sysvinit-utils:arm64 3.08-6ubuntu3
2025-01-28 04:24:26 configure libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4 <none>
2025-01-28 04:24:26 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:26 status half-configured libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:26 status installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:26 configure debianutils:arm64 5.17build1 <none>
2025-01-28 04:24:26 status unpacked debianutils:arm64 5.17build1
2025-01-28 04:24:26 status half-configured debianutils:arm64 5.17build1
2025-01-28 04:24:27 status installed debianutils:arm64 5.17build1
2025-01-28 04:24:27 configure mawk:arm64 1.3.4.20240123-1build1 <none>
2025-01-28 04:24:27 status unpacked mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:27 status half-configured mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:28 status installed mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:28 configure libdebconfclient0:arm64 0.271ubuntu3 <none>
2025-01-28 04:24:28 status unpacked libdebconfclient0:arm64 0.271ubuntu3
2025-01-28 04:24:28 status half-configured libdebconfclient0:arm64 0.271ubuntu3
2025-01-28 04:24:28 status installed libdebconfclient0:arm64 0.271ubuntu3
2025-01-28 04:24:28 configure libbz2-1.0:arm64 1.0.8-5.1 <none>
2025-01-28 04:24:28 status unpacked libbz2-1.0:arm64 1.0.8-5.1
2025-01-28 04:24:28 status half-configured libbz2-1.0:arm64 1.0.8-5.1
2025-01-28 04:24:28 status installed libbz2-1.0:arm64 1.0.8-5.1
2025-01-28 04:24:28 configure libblkid1:arm64 2.39.3-9ubuntu6 <none>
2025-01-28 04:24:28 status unpacked libblkid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:28 status half-configured libblkid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:28 status installed libblkid1:arm64 2.39.3-9ubuntu6
